x,y,z,Type,State,extra
10,44,46,8,19,0
5,38,9,8,19,0
13,38,1,8,19,0
5,31,46,8,19,0
1,0,38,8,19,0
49,22,41,8,19,0
3,35,32,8,19,0
3,30,41,8,19,0
5,32,45,8,19,0
3,49,37,8,19,0
18,32,42,8,19,0
22,49,26,8,17,0
46,4,27,8,19,0
0,41,27,8,19,0
7,49,41,8,19,0
25,20,38,8,19,0
15,39,0,8,19,0
4,49,42,8,19,0
7,44,10,8,19,0
9,29,41,8,19,0
49,21,33,8,19,0
8,23,47,8,19,0
25,16,34,8,19,0
40,20,47,8,19,0
6,37,25,8,19,0
46,1,27,8,19,0
9,49,39,8,19,0
6,44,28,8,19,0
5,26,46,8,19,0
44,20,45,8,19,0
2,37,42,8,19,0
8,37,5,8,19,0
8,5,39,8,19,0
6,38,8,8,19,0
0,40,20,8,19,0
4,35,44,8,19,0
44,11,27,8,19,0
6,23,47,8,19,0
49,22,35,8,19,0
3,49,38,8,19,0
5,9,44,8,17,0
6,45,31,8,19,0
18,13,45,8,19,0
11,9,39,8,19,0
15,35,39,8,19,0
5,44,34,8,19,0
0,43,27,8,19,0
3,49,34,8,19,0
33,12,38,8,19,0
25,22,40,8,19,0
9,37,4,8,19,0
13,49,35,8,19,0
12,39,5,8,19,0
6,35,25,8,19,0
3,35,28,8,19,0
6,38,25,8,19,0
20,25,47,8,19,0
9,45,45,8,19,0
46,20,43,8,19,0
3,15,42,8,19,0
1,39,16,8,19,0
5,25,45,8,19,0
3,36,43,8,19,0
9,38,44,8,19,0
11,38,3,8,19,0
14,49,34,8,19,0
22,22,46,8,19,0
6,45,11,8,17,0
49,22,38,8,19,0
37,15,42,8,19,0
22,21,45,8,19,0
26,14,33,8,19,0
17,2,34,8,19,0
3,45,27,8,19,0
12,37,3,8,19,0
9,37,43,8,19,0
0,1,38,8,19,0
6,40,25,8,19,0
40,18,45,8,19,0
17,12,44,8,19,0
18,49,30,8,19,0
11,22,48,8,19,0
17,10,42,8,19,0
5,29,46,8,19,0
10,49,38,8,19,0
42,20,47,8,19,0
11,49,37,8,19,0
0,44,28,8,19,0
16,34,40,8,19,0
2,41,37,8,19,0
46,20,47,8,19,0
49,18,30,8,19,0
22,23,47,8,19,0
5,25,46,8,19,0
9,43,49,8,19,0
1,38,41,8,19,0
3,7,42,8,19,0
4,43,35,8,19,0
38,16,43,8,19,0
44,13,27,8,19,0
31,12,36,8,19,0
3,36,27,8,19,0
49,21,42,8,19,0
5,24,46,8,19,0
5,34,45,8,19,0
9,24,46,8,19,0
25,21,39,8,19,0
47,20,48,8,19,0
6,34,26,8,19,0
8,38,6,8,19,0
6,42,26,8,19,0
