x,y,z,Type,State,extra
9,40,46,8,19,0
5,46,12,8,19,0
14,38,0,8,19,0
11,40,6,8,19,0
8,37,5,8,19,0
5,34,45,8,19,0
1,16,41,8,19,0
4,37,10,8,19,0
0,42,27,8,19,0
5,31,46,8,19,0
1,0,38,8,19,0
25,29,41,8,19,0
44,9,27,8,19,0
15,40,9,8,19,0
8,46,44,8,19,0
24,36,3,8,19,0
0,21,40,8,19,0
21,49,27,8,19,0
4,49,42,8,19,0
20,15,47,8,19,0
49,21,33,8,19,0
3,35,28,8,19,0
32,47,15,8,19,0
3,45,27,8,19,0
14,26,1,8,19,0
17,12,44,8,19,0
13,42,23,8,19,0
4,46,28,8,19,0
36,27,0,8,19,0
30,46,18,8,19,0
20,39,0,8,19,0
9,38,5,8,19,0
15,39,49,8,19,0
30,31,41,8,19,0
6,35,25,8,19,0
22,32,7,8,19,0
11,44,21,8,19,0
4,43,35,8,19,0
29,30,34,8,19,0
9,39,45,8,19,0
37,42,10,8,19,0
10,0,38,8,19,0
31,22,0,8,17,0
43,19,46,8,19,0
16,28,3,8,19,0
23,31,42,8,19,0
0,4,39,8,19,0
48,19,47,8,19,0
9,29,41,8,19,0
3,35,29,8,19,0
8,12,47,8,19,0
0,40,22,8,19,0
27,13,33,8,19,0
23,31,47,8,19,0
11,8,38,8,19,0
4,37,11,8,19,0
2,32,30,8,19,0
0,17,41,8,19,0
8,13,47,8,19,0
1,38,25,8,19,0
9,38,44,8,19,0
9,43,49,8,19,0
11,9,39,8,19,0
24,30,46,8,19,0
21,30,42,8,19,0
7,20,0,8,19,0
26,49,0,8,17,0
12,33,49,8,17,0
44,34,20,8,19,0
0,40,19,8,19,0
12,26,48,8,19,0
41,20,48,8,19,0
17,10,42,8,19,0
13,38,4,8,19,0
49,22,40,8,19,0
26,44,0,8,19,0
18,49,30,8,19,0
8,43,9,8,19,0
1,5,40,8,19,0
17,33,49,8,19,0
26,28,43,8,19,0
36,42,20,8,19,0
26,49,22,8,19,0
0,45,29,8,19,0
12,37,3,8,19,0
46,7,27,8,19,0
11,38,3,8,19,0
10,7,37,8,19,0
30,48,20,8,19,0
8,22,49,8,19,0
3,49,39,8,19,0
30,49,19,8,19,0
0,40,26,8,19,0
46,26,16,8,19,0
15,27,2,8,19,0
6,33,27,8,19,0
8,5,39,8,19,0
7,40,17,8,19,0
14,35,49,8,19,0
6,45,33,8,19,0
14,40,10,8,19,0
2,41,37,8,19,0
7,28,43,8,19,0
24,30,41,8,19,0
46,4,27,8,19,0
2,23,39,8,19,0
25,15,33,8,19,0
9,26,48,8,19,0
47,16,28,8,19,0
0,46,30,8,19,0
6,49,43,8,19,0
21,32,7,8,19,0
5,26,46,8,19,0
6,37,25,8,19,0
