x,y,z,Type,State,extra
42,20,47,8,19,0
33,12,38,8,19,0
25,22,40,8,19,0
45,14,28,8,19,0
3,35,34,8,19,0
18,13,45,8,19,0
22,21,44,8,19,0
49,18,30,8,19,0
0,1,38,8,17,0
17,9,41,8,19,0
3,35,30,8,19,0
29,12,34,8,19,0
3,36,27,8,19,0
2,38,15,8,19,0
3,37,14,8,19,0
9,37,43,8,19,0
44,18,47,8,19,0
3,33,38,8,19,0
46,20,43,8,19,0
9,44,49,8,19,0
0,44,28,8,19,0
0,41,27,8,19,0
0,42,27,8,19,0
10,30,40,8,19,0
3,35,31,8,19,0
5,28,46,8,19,0
8,0,38,8,19,0
38,20,47,8,19,0
31,12,36,8,19,0
1,38,41,8,19,0
17,2,34,8,19,0
3,0,38,8,19,0
19,29,44,8,19,0
1,47,31,8,19,0
49,18,48,8,19,0
10,33,40,8,19,0
25,19,37,8,19,0
4,35,44,8,19,0
19,27,46,8,19,0
49,22,39,8,19,0
35,13,40,8,19,0
10,1,40,8,19,0
41,20,48,8,19,0
2,37,42,8,19,0
49,22,38,8,19,0
0,40,21,8,19,0
5,29,46,8,19,0
47,21,43,8,19,0
24,22,41,8,19,0
49,21,33,8,19,0
45,19,48,8,19,0
21,16,48,8,19,0
5,25,45,8,19,0
49,19,31,8,19,0
25,20,38,8,19,0
17,12,44,8,19,0
0,40,20,8,19,0
3,25,46,8,19,0
9,46,49,8,19,0
39,17,44,8,19,0
10,32,40,8,19,0
9,35,41,8,19,0
0,40,17,8,19,0
36,19,47,8,19,0
5,31,46,8,19,0
9,41,47,8,19,0
6,23,47,8,19,0
3,32,39,8,19,0
44,9,27,8,17,0
3,27,44,8,19,0
17,5,37,8,19,0
9,40,46,8,19,0
20,25,47,8,19,0
34,12,39,8,19,0
35,19,48,8,19,0
45,20,44,8,19,0
28,12,33,8,19,0
8,47,49,8,19,0
44,20,45,8,19,0
10,0,38,8,19,0
22,23,47,8,19,0
9,0,38,8,19,0
15,0,34,8,19,0
5,24,46,8,19,0
3,29,42,8,19,0
11,22,48,8,19,0
17,4,36,8,19,0
0,40,18,8,19,0
9,36,42,8,19,0
5,33,45,8,19,0
7,48,48,8,19,0
5,30,46,8,19,0
25,18,36,8,19,0
3,36,43,8,19,0
5,34,45,8,19,0
17,7,39,8,19,0
49,20,32,8,19,0
25,16,34,8,19,0
10,3,40,8,19,0
9,42,48,8,19,0
3,31,40,8,19,0
27,15,48,8,19,0
48,17,29,8,19,0
9,24,46,8,19,0
18,32,42,8,17,0
17,11,43,8,19,0
47,16,28,8,19,0
2,0,38,8,19,0
49,21,42,8,19,0
3,37,26,8,19,0
10,34,40,8,19,0
1,38,25,8,19,0
3,35,35,8,19,0
14,0,35,8,19,0
9,43,49,8,19,0
0,46,30,8,19,0
44,13,27,8,19,0
22,21,45,8,19,0
9,38,44,8,19,0
9,6,38,8,19,0
44,10,27,8,19,0
3,35,32,8,19,0
2,24,45,8,19,0
6,49,47,8,17,0
17,3,35,8,19,0
10,0,39,8,19,0
10,23,47,8,19,0
49,22,36,8,19,0
44,11,27,8,19,0
5,25,46,8,19,0
0,25,45,8,19,0
43,19,46,8,19,0
49,22,34,8,19,0
7,0,38,8,19,0
0,39,39,8,19,0
46,15,27,8,19,0
1,24,46,8,19,0
3,30,41,8,19,0
48,19,47,8,19,0
36,14,41,8,19,0
17,8,40,8,19,0
20,15,47,8,19,0
26,14,33,8,19,0
5,26,46,8,19,0
30,12,35,8,19,0
8,23,47,8,19,0
5,0,38,8,19,0
4,37,10,8,17,0
1,39,24,8,19,0
7,27,43,8,19,0
6,26,44,8,19,0
10,7,37,8,17,0
0,40,26,8,19,0
40,20,47,8,19,0
5,32,45,8,19,0
12,21,47,8,19,0
1,40,38,8,19,0
13,0,36,8,19,0
49,22,40,8,19,0
11,0,38,8,19,0
32,12,37,8,19,0
9,39,45,8,19,0
1,0,38,8,19,0
39,20,46,8,19,0
25,15,33,8,19,0
3,26,45,8,19,0
22,22,46,8,19,0
3,49,33,8,17,0
41,19,46,8,19,0
25,17,35,8,19,0
4,0,38,8,19,0
6,0,38,8,19,0
3,35,29,8,19,0
47,20,48,8,19,0
37,15,42,8,19,0
4,37,13,8,19,0
27,13,33,8,19,0
17,6,38,8,19,0
38,16,43,8,19,0
49,22,41,8,19,0
0,40,23,8,19,0
1,39,16,8,19,0
4,43,35,8,17,0
49,22,37,8,19,0
19,14,46,8,19,0
3,34,37,8,19,0
17,10,42,8,19,0
43,20,46,8,19,0
6,49,47,8,19,0
9,4,40,8,19,0
3,35,28,8,19,0
3,28,43,8,19,0
19,26,47,8,19,0
4,37,12,8,19,0
0,39,40,8,19,0
44,12,27,8,19,0
0,40,22,8,19,0
21,24,47,8,19,0
33,18,48,8,19,0
2,38,25,8,19,0
0,43,27,8,19,0
22,21,43,8,19,0
7,22,48,8,19,0
25,21,39,8,19,0
48,21,43,8,19,0
19,30,43,8,19,0
0,45,29,8,19,0
3,35,36,8,19,0
9,29,41,8,19,0
40,18,45,8,19,0
16,1,34,8,19,0
8,28,42,8,19,0
19,28,45,8,19,0
5,27,46,8,19,0
9,45,49,8,19,0
3,35,33,8,19,0
10,2,40,8,19,0
0,40,19,8,19,0
10,31,40,8,19,0
0,39,26,8,19,0
8,5,39,8,19,0
4,24,45,8,19,0
46,20,47,8,19,0
23,22,42,8,19,0
49,22,35,8,19,0
12,0,37,8,19,0
44,9,27,8,19,0
19,31,42,8,19,0
2,48,32,8,19,0
2,41,37,8,19,0
0,1,38,8,19,0
4,37,11,8,19,0
3,42,36,8,19,0
18,32,42,8,19,0
3,49,33,8,19,0
4,37,10,8,19,0
4,43,35,8,19,0
2,25,30,1,7,31783.4|13084|6|1
14,12,25,5,13,30661
47,9,4,1,8,19275.7|18800|-1|0
20,16,38,1,7,29388.1|31963|4|2
43,21,4,1,8,21381.6|38825|-1|0
6,16,0,5,13,26356.4
9,29,13,1,7,18480.7|13084|2|2
48,14,49,3,10,0
0,22,45,2,4,0
47,19,47,2,4,0
26,28,18,1,7,18758.7|29423|1|1
19,14,4,1,8,22825.8|20546|-1|0
29,49,19,1,7,24073.5|21422|6|2
43,37,37,1,7,41675.2|37493|1|1
21,41,43,2,5,0
36,22,12,1,7,19287.1|40410|4|1
10,27,25,1,7,20799.3|11877|4|1
33,30,5,1,8,23195.1|31537|-1|0
18,20,1,1,7,20684.9|3816|3|4
4,45,3,6,16,0
30,40,12,6,16,0
44,49,49,2,4,0
14,16,25,1,7,20236|22377|6|1
24,27,34,1,8,23313.2|11753|-1|0
17,11,15,1,7,19259.2|18975|4|1
0,6,49,6,16,0
27,39,1,1,8,27952.3|27343|-1|0
32,4,19,1,7,27043.7|14085|6|0
31,39,25,1,8,19663.7|31236|-1|0
49,17,48,3,9,0
27,47,46,1,7,34704.8|31726|2|1
49,30,47,2,4,0
23,7,18,1,7,20914.7|7749|6|0
14,49,39,1,8,38554.3|17764|-1|0
26,21,36,1,8,26364.7|36977|-1|0
0,18,49,3,9,0
6,44,12,1,8,28319.5|2545|-1|0
35,9,8,1,7,19982.5|27643|6|5
36,1,45,1,7,40889|20496|6|0
21,20,9,6,16,0
45,31,34,6,16,0
6,32,19,1,8,19320.7|2251|-1|0
37,32,22,1,7,23793|40482|4|2
48,46,33,1,8,38517.1|34431|-1|0
39,9,36,1,7,33576.8|31963|4|2
39,19,6,6,16,0
47,6,29,1,7,27723.6|43637|1|2
13,7,0,6,16,0
49,24,48,2,4,0
37,24,7,1,8,21381.6|38825|-1|0
39,13,23,1,8,22597.3|37047|-1|0
48,29,14,1,7,21168.4|41357|6|1
34,38,19,1,7,26057.3|42382|5|4
47,5,0,1,7,24038|27643|6|1
48,32,49,2,5,0
