x,y,z,Type,State,extra
5,29,46,8,19,0
2,48,32,8,19,0
9,45,49,8,19,0
7,0,38,8,19,0
3,35,36,8,19,0
41,20,48,8,19,0
9,45,45,8,19,0
5,48,14,8,17,0
49,22,39,8,19,0
46,15,27,8,19,0
6,26,44,8,19,0
6,49,43,8,19,0
7,37,6,8,19,0
10,40,34,8,19,0
0,17,41,8,19,0
3,35,35,8,19,0
11,22,48,8,19,0
9,46,49,8,19,0
29,12,34,8,19,0
2,37,42,8,19,0
21,16,48,8,19,0
3,49,39,8,19,0
45,8,27,8,19,0
33,12,38,8,19,0
20,15,47,8,19,0
25,20,38,8,19,0
46,0,27,8,17,0
25,17,35,8,19,0
2,24,45,8,19,0
0,4,39,8,19,0
43,19,46,8,19,0
10,37,3,8,19,0
12,0,37,8,19,0
3,49,34,8,19,0
13,49,35,8,19,0
45,14,28,8,19,0
15,49,33,8,19,0
6,45,11,8,19,0
6,45,32,8,19,0
49,21,42,8,19,0
4,8,43,8,19,0
46,3,27,8,19,0
0,42,27,8,19,0
11,49,37,8,19,0
0,40,26,8,19,0
10,7,37,8,19,0
8,5,39,8,19,0
2,6,41,8,19,0
25,18,36,8,19,0
5,28,46,8,19,0
25,19,37,8,19,0
4,37,11,8,19,0
12,21,47,8,19,0
33,18,48,8,19,0
19,30,43,8,19,0
7,11,42,8,19,0
25,16,34,8,19,0
5,0,38,8,19,0
3,36,27,8,19,0
3,37,26,8,19,0
19,14,46,8,19,0
9,42,48,8,19,0
7,47,43,8,19,0
6,48,43,8,19,0
5,32,45,8,19,0
0,40,17,8,19,0
7,49,41,8,19,0
5,26,46,8,19,0
3,0,38,8,19,0
16,49,32,8,19,0
49,22,36,8,19,0
7,44,10,8,19,0
40,18,45,8,19,0
11,10,40,8,19,0
1,40,38,8,19,0
1,24,46,8,19,0
10,0,38,8,19,0
10,33,40,8,19,0
3,49,33,8,19,0
5,38,9,8,19,0
6,44,28,8,19,0
9,37,43,8,19,0
13,41,49,8,17,0
0,40,22,8,19,0
44,18,47,8,19,0
3,37,14,8,19,0
5,9,44,8,19,0
10,34,40,8,19,0
5,46,12,8,19,0
46,7,27,8,19,0
14,38,0,8,19,0
5,49,43,8,19,0
44,13,27,8,19,0
42,20,47,8,19,0
1,39,24,8,19,0
6,37,7,8,19,0
13,37,37,8,19,0
9,38,44,8,19,0
9,40,46,8,19,0
27,13,33,8,19,0
0,40,21,8,19,0
17,4,36,8,19,0
49,22,34,8,19,0
19,27,46,8,19,0
26,49,22,8,17,0
2,0,38,8,19,0
11,9,39,8,19,0
6,49,42,8,19,0
19,49,29,8,19,0
6,34,26,8,19,0
15,0,34,8,19,0
3,15,42,8,19,0
6,12,42,8,19,0
4,31,29,8,17,0
12,42,48,8,19,0
36,19,47,8,19,0
3,49,36,8,19,0
3,40,21,8,19,0
49,18,48,8,19,0
5,27,46,8,19,0
46,0,27,8,19,0
1,38,25,8,19,0
11,0,38,8,19,0
17,5,37,8,19,0
0,46,30,8,19,0
9,49,39,8,19,0
49,21,33,8,19,0
9,6,38,8,19,0
5,25,46,8,19,0
18,13,45,8,19,0
12,38,36,8,19,0
8,11,42,8,19,0
11,40,6,8,19,0
9,29,41,8,19,0
10,44,46,8,19,0
0,1,38,8,19,0
19,26,47,8,19,0
2,38,15,8,19,0
17,9,41,8,19,0
9,0,38,8,19,0
36,14,41,8,19,0
32,12,37,8,19,0
3,26,45,8,19,0
6,45,29,8,19,0
4,24,45,8,19,0
4,40,20,8,19,0
2,40,22,8,19,0
45,20,44,8,19,0
49,18,30,8,19,0
1,5,40,8,19,0
8,42,32,8,19,0
6,49,44,8,19,0
6,45,30,8,19,0
26,14,33,8,19,0
4,37,9,8,19,0
10,1,40,8,19,0
7,38,7,8,19,0
4,43,35,8,19,0
22,21,44,8,19,0
17,12,44,8,19,0
2,41,37,8,19,0
3,31,40,8,19,0
17,49,31,8,19,0
9,38,5,8,19,0
0,40,19,8,19,0
17,6,38,8,19,0
9,43,49,8,19,0
46,2,27,8,19,0
6,23,47,8,19,0
38,16,43,8,19,0
3,34,37,8,19,0
7,27,43,8,19,0
49,22,35,8,19,0
25,15,33,8,19,0
18,32,42,8,19,0
7,22,48,8,19,0
8,0,38,8,19,0
5,24,46,8,19,0
11,8,38,8,19,0
10,32,40,8,19,0
47,21,43,8,19,0
6,0,38,8,19,0
49,22,41,8,19,0
0,42,24,8,19,0
8,38,6,8,19,0
10,49,38,8,19,0
5,30,46,8,19,0
45,19,48,8,19,0
44,12,27,8,19,0
5,33,45,8,19,0
13,41,49,8,19,0
6,43,27,8,19,0
11,39,35,8,19,0
3,27,44,8,19,0
4,0,38,8,19,0
3,35,34,8,19,0
4,46,28,8,19,0
8,23,47,8,19,0
11,43,47,8,19,0
9,35,41,8,19,0
27,15,48,8,19,0
22,49,26,8,19,0
24,49,24,8,19,0
6,36,25,8,19,0
6,40,18,8,17,0
3,49,37,8,19,0
3,35,32,8,19,0
9,39,45,8,19,0
16,39,0,8,19,0
