x,y,z,Type,State,extra
10,33,40,8,19,0
5,26,46,8,19,0
5,34,45,8,19,0
36,19,47,8,19,0
9,42,48,8,19,0
9,24,46,8,19,0
25,17,35,8,19,0
1,39,24,8,19,0
9,38,44,8,19,0
5,27,46,8,19,0
12,21,47,8,19,0
43,20,46,8,19,0
35,19,48,8,19,0
17,9,41,8,19,0
49,22,38,8,19,0
3,25,46,8,19,0
3,28,43,8,19,0
3,27,44,8,19,0
5,32,45,8,19,0
17,10,42,8,19,0
49,22,41,8,19,0
10,34,40,8,19,0
2,38,25,8,19,0
3,35,35,8,19,0
46,20,47,8,19,0
39,20,46,8,19,0
3,36,43,8,19,0
5,25,45,8,19,0
0,40,23,8,19,0
5,33,45,8,19,0
3,37,26,8,19,0
5,29,46,8,19,0
49,22,40,8,19,0
9,35,41,8,19,0
34,12,39,8,19,0
49,18,48,8,19,0
5,30,46,8,19,0
3,35,31,8,19,0
45,20,44,8,19,0
6,23,47,8,19,0
49,22,37,8,19,0
5,24,46,8,19,0
0,25,45,8,19,0
47,21,43,8,19,0
49,22,36,8,19,0
9,39,45,8,19,0
30,12,35,8,19,0
3,35,29,8,19,0
3,32,39,8,19,0
43,19,46,8,19,0
9,41,47,8,19,0
0,40,23,8,17,0
2,37,42,8,19,0
39,17,44,8,19,0
0,39,26,8,19,0
0,39,40,8,19,0
1,24,46,8,19,0
17,11,43,8,19,0
25,20,38,8,19,0
8,28,42,8,19,0
44,18,47,8,19,0
28,12,33,8,19,0
25,22,40,8,17,0
9,36,42,8,19,0
38,16,43,8,19,0
49,22,39,8,19,0
17,3,35,8,19,0
17,6,38,8,19,0
35,13,40,8,19,0
17,5,37,8,19,0
46,20,43,8,19,0
8,23,47,8,19,0
44,20,45,8,19,0
41,19,46,8,19,0
10,32,40,8,19,0
3,35,34,8,19,0
10,31,40,8,19,0
17,4,36,8,19,0
10,30,40,8,19,0
3,35,33,8,19,0
7,22,48,8,19,0
29,12,34,8,19,0
3,35,30,8,19,0
11,22,48,8,19,0
17,7,39,8,19,0
20,15,47,8,19,0
9,40,46,8,19,0
37,15,42,8,19,0
5,28,46,8,19,0
49,21,42,8,19,0
14,0,35,8,17,0
26,14,33,8,19,0
32,12,37,8,19,0
38,20,47,8,19,0
45,19,48,8,19,0
18,13,45,8,19,0
4,35,44,8,19,0
3,36,27,8,19,0
0,39,40,8,17,0
25,16,34,8,19,0
3,35,36,8,19,0
3,35,28,8,19,0
25,19,37,8,19,0
3,26,45,8,19,0
47,20,48,8,19,0
49,21,33,8,19,0
9,29,41,8,19,0
27,13,33,8,19,0
21,16,48,8,19,0
19,14,46,8,19,0
6,26,44,8,19,0
7,27,43,8,19,0
48,21,43,8,19,0
4,24,45,8,19,0
9,37,43,8,19,0
27,15,48,8,19,0
33,18,48,8,19,0
3,30,41,8,19,0
41,20,48,8,19,0
3,34,37,8,19,0
2,24,45,8,19,0
3,33,38,8,19,0
31,12,36,8,19,0
49,22,35,8,19,0
36,14,41,8,19,0
3,35,32,8,19,0
15,0,34,8,19,0
5,31,46,8,19,0
40,18,45,8,19,0
3,31,40,8,19,0
1,38,25,8,19,0
17,2,34,8,19,0
25,18,36,8,19,0
48,19,47,8,19,0
0,39,26,8,17,0
5,25,46,8,19,0
10,23,47,8,19,0
25,15,33,8,19,0
17,12,44,8,19,0
40,20,47,8,19,0
3,29,42,8,19,0
49,19,31,8,17,0
16,1,34,8,19,0
1,38,41,8,19,0
49,22,34,8,19,0
17,8,40,8,19,0
42,20,47,8,19,0
33,12,38,8,19,0
9,43,49,8,17,0
25,21,39,8,19,0
49,20,32,8,19,0
9,43,49,8,19,0
27,28,19,1,7,18244.8|17693|2|1
25,30,38,1,7,21903.9|17974|3|1
19,30,22,1,7,19031.7|18229|1|1
1,49,42,3,9,0
10,13,6,1,7,23936|7620|4|2
38,9,46,1,8,37578|31963|-1|0
1,8,18,1,7,26747.9|432|1|1
5,39,24,1,7,25167.4|2251|4|1
40,16,24,1,7,22597.3|37047|5|1
20,18,17,1,7,19259.2|18975|2|6
45,39,46,1,8,45185.8|43015|-1|0
45,18,4,1,8,23618.9|38457|-1|0
44,8,11,1,8,26580.7|41856|-1|0
49,26,42,2,5,0
49,7,24,1,8,26580.7|41856|-1|0
20,41,16,1,8,24814.7|16871|-1|0
25,13,27,1,8,18824.4|21738|-1|0
10,18,11,1,8,19146.3|4049|-1|0
38,4,23,1,7,23501.9|28948|5|1
8,25,26,1,7,18964.9|10704|6|0
