agent_type,agent_id,x,y,z,cell_state,additional_info
CANCER,1,16,28,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,2,18,13,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,3,20,22,18,PROGENITOR,divideCD=0;divideFlag=1
CANCER,4,14,21,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,5,22,23,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,6,16,22,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,7,18,17,30,PROGENITOR,divideCD=0;divideFlag=1
CANCER,8,20,24,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,9,18,24,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,10,19,24,17,PROGENITOR,divideCD=0;divideFlag=1
CANCER,11,17,21,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,12,19,26,33,PROGENITOR,divideCD=0;divideFlag=1
CANCER,13,22,26,21,PROGENITOR,divideCD=0;divideFlag=1
CANCER,14,21,26,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,15,17,29,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,16,22,25,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,17,17,26,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,18,17,21,33,PROGENITOR,divideCD=0;divideFlag=1
CANCER,19,22,27,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,20,20,23,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,21,20,26,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,22,18,24,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,23,13,24,29,PROGENITOR,divideCD=0;divideFlag=1
CANCER,24,20,26,29,PROGENITOR,divideCD=0;divideFlag=1
CANCER,25,17,29,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,26,21,28,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,27,16,30,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,28,20,24,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,29,22,30,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,30,21,29,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,31,21,21,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,32,18,20,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,33,26,19,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,34,20,23,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,35,20,19,29,PROGENITOR,divideCD=0;divideFlag=1
CANCER,36,20,22,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,37,21,23,19,PROGENITOR,divideCD=0;divideFlag=1
CANCER,38,14,17,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,39,19,20,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,40,21,25,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,41,21,24,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,42,20,23,29,PROGENITOR,divideCD=0;divideFlag=1
CANCER,43,24,20,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,44,24,25,19,PROGENITOR,divideCD=0;divideFlag=1
CANCER,45,23,27,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,46,21,23,21,PROGENITOR,divideCD=0;divideFlag=1
CANCER,47,15,24,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,48,22,26,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,49,20,30,29,PROGENITOR,divideCD=0;divideFlag=1
CANCER,50,21,24,30,PROGENITOR,divideCD=0;divideFlag=1
CANCER,51,16,26,17,PROGENITOR,divideCD=0;divideFlag=1
CANCER,52,18,27,21,PROGENITOR,divideCD=0;divideFlag=1
CANCER,53,20,24,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,54,20,26,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,55,21,26,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,56,24,25,26,PROGENITOR,divideCD=0;divideFlag=1
